yyyymmdd dayofyear flightno legno runno meantime starttime endtime lat lon heading dist orog altgps altrad altradSTD altradgps prs u v w w_pert_squared wsp wd tke u_pitot v_pitot wsp_pitot wd_pitot T Td_BUCK Td_LICOR q_BUCK q_LICOR rhwater_BUCK rhwater_LICOR rhice_BUCK rhice_LICOR thetaapprox thetavapprox theta thetae_BUCK thetae_LICOR NsquaredSfcToFlLev dry_density moist_density mslp Tsfc TsfcSTD qsfc SWup SWdown LWup LWdown alb albSTD T2m q2m rh2m u10m u10N L windstress xmomflux ymomflux ustar z0 z0_flag CDN turbh sh thetastar Tstar z0T z0T_flag CHN lh qstar z0q z0q_flag CEN Rstar sstOSTIA icefractionOSTIA icefractionAMSR icefractionT icefractionalb icefractionT2 icefractionalb2 windstressbulk shbulk lhbulk u10NCOARE u10mCOARE T2mCOARE q2mCOARE rh2mCOARE windstressCOARE z0COARE CDNCOARE shCOARE z0TCOARE CHNCOARE lhCOARE z0qCOARE CENCOARE turbhCOARE ustarCOARE RstarCOARE LWC LWCmr FWC FWCmr LWC2 LWC2mr smallparticles smallparticlesmr z0T_div_z0 z0q_div_z0 SWdown_sfc SWup_sfc LWdown_sfc LWup_sfc sh_sfc lh_sfc turbh_sfc xmomflux_sfc ymomflux_sfc windstress_sfc tot_cloud_cover lowlev_cloud_cover tot_column_water_vapoour tot_column_cloud_liquid_water shSHEBA lhSHEBA windstressSHEBA z0SHEBA z0TSHEBA z0qSHEBA ustarSHEBA TstarSHEBA qstarSHEBA CDNSHEBA CHNSHEBA CENSHEBA RstarSHEBA 
20130323 82 181 1 1 41655 41580 41730 76.5118 22.3127 111.942 8.97927 0 56.2283 24.84 3.11523 24.84 1029.69 -2.41929 -7.798 0.939594 0.165253 8.16467 17.2362 0.684234 -2.08475 -5.30458 5.69954 21.4553 260.237 259.396 259.396 1.28068 1.83821 93.3999 134.015 105.98 152.065 260.479 260.683 258.069 261.567 262.979 -0.00576122 1.37838 1.27145 1033.05 261.834 0 1.52641 80.6051 131.869 269.194 243.043 0.611253 0 260.429 1.29235 93.0909 8.44112 9.09779 -65.3684 0.154201 0.0550133 0.144054 0.334724 0.000189829 0 0.00135364 59.4198 51.4323 -0.111199 -0.114286 0.0256985 0 0.00246763 7.98743 -0.00693532 2.35215e-06 0 0.000964225 5.23842 271.253 0.724068 0.791244 0.825435 0.658932 0.849427 0.693914 0.101019 16.8167 3.32869 7.90427 7.72804 260.711 1.32086 92.9627 0.101072 8.62621e-05 0.00117671 15.7113 3.72759e-05 0.00109773 7.39436 3.72759e-05 0.00109773 23.1056 0.271142 1.92827 NaN NaN NaN NaN NaN NaN NaN NaN 135.377 0.0123909 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 18.5051 3.95212 0.119522 0.000234916 6.9159e-05 8.28351e-05 0.295305 -0.045295 -3.84473e-06 0.00140831 0.00126337 0.00128285 5.71917 
20130323 82 181 1 2 41805 41730 41880 76.4597 22.5778 129.951 9.30987 0 56.2355 25.0073 2.52495 25.0073 1029.55 -2.77723 -8.33265 0.930614 0.154124 8.78328 18.4329 0.899025 -1.74758 -6.1222 6.36674 15.9314 260.158 259.497 259.497 1.29142 1.80496 94.7777 132.425 107.626 150.377 260.401 260.607 258.001 261.525 262.826 -0.00642349 1.37861 1.27077 1032.93 262.226 0 1.57515 82.534 144.54 269.752 241.813 0.571012 0 260.45 1.3164 94.6554 8.62346 9.0516 -107.112 0.179539 0.0478011 0.173059 0.361152 0.000442678 0 0.00159195 48.5077 39.7333 -0.0796071 -0.0825835 0.000783912 0 0.00168818 8.77438 -0.00706004 7.82921e-07 0 0.000975363 13.1857 271.25 0.710991 0.947132 0.797377 0.601445 0.825225 0.642323 0.12058 24.4847 4.88227 8.5241 8.31473 260.698 1.33667 94.1614 0.120986 0.00010213 0.00121155 23.0758 3.18768e-05 0.00110008 9.2384 3.18768e-05 0.00110008 32.3142 0.296701 2.49916 NaN NaN NaN NaN NaN NaN NaN NaN 1.77084 0.0017686 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 26.8667 5.74804 0.139382 0.000234794 6.29363e-05 7.57527e-05 0.318952 -0.0608763 -5.17833e-06 0.00140817 0.00125336 0.00127307 6.17644 
20130323 82 181 1 3 42018 41880 42156 76.3759 22.9286 122.006 16.8115 0 61.7387 30.4572 4.41961 30.4572 1028.59 -2.49859 -8.73367 0.918457 0.183295 9.08405 15.9652 0.996613 -1.74532 -6.42541 6.65823 15.1964 260.236 259.652 259.652 1.30916 1.79491 95.3808 130.732 108.228 148.341 260.533 260.741 258.147 261.719 262.95 -0.00496803 1.37691 1.26772 1032.7 262.129 0 1.56356 89.2217 144.068 268.525 247.549 0.619301 0 260.446 1.33177 95.7648 9.39783 9.99451 -76.1908 0.17399 0.0386119 0.169652 0.355784 0.000131828 0 0.00126722 67.898 53.068 -0.108084 -0.112924 0.0100476 0 0.00206275 14.83 -0.0121301 0.000840023 0 0.00151728 3.86175 271.24 0.690378 0.804917 0.844737 0.670431 0.866076 0.704233 0.125594 21.4496 3.79722 8.6671 8.48203 260.807 1.35203 94.3803 0.125868 0.000105839 0.0012191 20.2587 3.0857e-05 0.00110068 8.33086 3.0857e-05 0.00110068 28.5896 0.302617 2.63711 NaN NaN NaN NaN NaN NaN NaN NaN 76.2174 6.3721 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 23.4359 4.64507 0.14374 0.00023476 6.17774e-05 7.44289e-05 0.323978 -0.0523436 -4.12452e-06 0.00140813 0.0012514 0.00127115 6.26222 
20130323 82 181 2 1 42231 42156 42306 76.3365 23.3344 80.0094 8.37752 0 62.5362 31.8649 3.71702 31.8649 1028.3 -1.84021 -8.23251 0.931994 0.219616 8.43567 12.6002 0.723316 -2.83466 -6.20552 6.8223 24.5507 260.157 259.591 259.591 1.30293 1.77324 95.5115 129.951 108.46 147.568 260.468 260.675 258.09 261.644 262.837 -0.00550581 1.37694 1.26827 1032.6 262.705 0 1.63724 59.284 110.19 269.987 250.364 0.538018 0 260.348 1.32491 96.0252 8.86584 9.50536 -73.9739 0.188162 0.0539434 0.180264 0.369995 0.000344433 0 0.00151515 79.6141 61.6278 -0.1207 -0.123032 0.00195558 0 0.00182325 17.9863 -0.0141471 0.000255178 1 0.00147218 10.4951 271.21 0.704592 0.868949 0.790386 0.554311 0.819195 0.600023 0.108698 28.9615 6.41635 8.17256 7.9208 260.818 1.35485 94.4784 0.109269 9.30544e-05 0.00119216 27.431 3.4736e-05 0.0010987 10.4957 3.4736e-05 0.0010987 37.9267 0.282179 2.16246 NaN NaN NaN NaN NaN NaN NaN NaN 5.67767 0.740864 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 31.8597 7.51391 0.127457 0.000234877 6.63736e-05 7.96702e-05 0.305359 -0.0754947 -7.08228e-06 0.00140826 0.001259 0.00127858 5.9066 
20130323 82 181 2 2 42381 42306 42456 76.3388 23.6502 80.224 8.40492 0 61.2577 31.031 2.51668 31.031 1028.32 -1.70984 -8.66856 0.93462 0.190914 8.83558 11.1582 0.867796 -2.63374 -6.68082 7.18122 21.5156 259.942 259.177 259.177 1.25973 1.73545 93.977 129.429 106.942 147.285 260.244 260.444 257.875 261.315 262.522 -0.00649139 1.37811 1.27295 1032.51 263.17 0 1.69885 50.2104 113.447 271.357 246.344 0.442591 0 260.026 1.27138 94.5788 9.29811 9.86736 -66.1768 0.118787 0.0399495 0.111868 0.293845 1.46737e-05 1 0.000886821 46.1077 34.1992 -0.0842619 -0.0851352 2.3721e-06 0 0.000780882 11.9085 -0.0117833 8.57092e-07 0 0.00073203 0.355655 271.2 0.715525 0.935609 0.739153 0.417987 0.775003 0.47768 0.122923 40.1775 10.7397 8.61744 8.3215 260.683 1.32508 93.4097 0.124036 0.000104891 0.00121719 38.2364 3.10747e-05 0.00110043 14.6323 3.10747e-05 0.00110043 52.8686 0.300648 2.60117 NaN NaN NaN NaN NaN NaN NaN NaN 0.161657 0.0584101 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 44.2159 12.1184 0.142161 0.000234761 6.1974e-05 7.46535e-05 0.32249 -0.099122 -1.08108e-05 0.00140813 0.00125174 0.00127147 6.24472 
20130323 82 181 2 3 42531 42456 42606 76.3413 23.9672 81.4279 8.41549 0 62.9234 32.5269 4.58908 32.5269 1027.97 -1.53299 -8.36388 0.900311 0.165765 8.50321 10.3863 0.687967 -2.39502 -6.57755 7.00002 20.0076 259.863 259.153 259.153 1.25755 1.72679 94.3816 129.562 107.484 147.549 260.18 260.38 257.822 261.256 262.446 -0.00412767 1.37806 1.27309 1032.36 261.351 0 1.46947 74.4504 111.337 263.841 246.541 0.668693 0 260.063 1.29356 95.9246 8.2359 8.5451 -137.624 0.155543 -0.00794529 0.15534 0.336263 0.00038503 0 0.00154855 34.3894 24.2448 -0.0522052 -0.0486516 0.00122665 0 0.00174778 10.1446 -0.0087725 0.000611022 1 0.00162225 10.681 271.19 0.713776 0.916294 0.921888 0.74099 0.932623 0.767555 0.105942 14.5361 2.12562 8.05755 7.90438 260.394 1.29476 93.4163 0.105884 8.97107e-05 0.00118466 13.6164 3.58879e-05 0.00109809 6.41932 3.58879e-05 0.00109809 20.0357 0.277332 2.0525 NaN NaN NaN NaN NaN NaN NaN NaN 3.18585 1.58695 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 15.9066 2.74532 0.12387 0.000234886 6.74985e-05 8.09492e-05 0.300544 -0.0382641 -2.62355e-06 0.00140828 0.00126078 0.00128032 5.82377 
20130323 82 181 2 4 42681 42606 42756 76.3418 24.2889 81.0662 8.66487 0 64.2136 34.0807 4.15828 34.0807 1027.71 -0.754688 -8.49939 0.984412 0.243738 8.53283 5.07416 0.689357 -1.70011 -6.66511 6.87852 14.3096 259.977 259.332 259.332 1.27638 1.75679 94.8854 130.56 107.938 148.52 260.31 260.512 257.954 261.438 262.656 -0.00589691 1.3771 1.27064 1032.31 263.238 0 1.70851 48.9799 91.5163 271.989 248.107 0.535203 0 260.162 1.30019 95.6396 9.01639 9.6513 -76.3673 0.197938 0.0109144 0.197637 0.379476 0.000381758 0 0.00154595 84.3676 63.5666 -0.121381 -0.123637 0.000205049 0 0.00145694 20.801 -0.0159514 6.26791e-05 0 0.0013128 11.9378 271.19 0.703926 0.876084 0.731172 0.550291 0.76812 0.596415 0.112876 38.9136 10.0931 8.3189 8.01655 260.748 1.34073 93.994 0.113935 9.69418e-05 0.00120063 37.0039 3.34214e-05 0.00109923 13.9176 3.34214e-05 0.00109923 50.9215 0.288251 2.30268 NaN NaN NaN NaN NaN NaN NaN NaN 0.537118 0.164185 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 42.8846 11.5121 0.132041 0.00023484 6.48215e-05 7.79029e-05 0.31097 -0.0997725 -1.06589e-05 0.00140822 0.00125648 0.00127612 6.01788 
20130323 82 181 2 5 42831 42756 42906 76.3436 24.6175 80.6279 8.72228 0 64.4909 34.4332 3.2038 34.4332 1027.55 -0.757877 -8.6107 0.999756 0.186263 8.64399 5.02997 0.841495 -1.73535 -6.69162 6.91297 14.5383 260.03 259.377 259.377 1.28126 1.75135 94.8243 129.578 107.813 147.327 260.366 260.569 258.018 261.516 262.709 -0.00533953 1.3766 1.26977 1032.19 262.854 0 1.65743 49.9347 85.5267 269.675 250.675 0.583849 0 260.282 1.32129 96.2383 8.39889 8.74538 -133.396 0.183153 0.0562564 0.1743 0.365098 0.000689997 1 0.00174285 45.0274 32.3585 -0.0642464 -0.0635253 1.69581e-06 0 0.00107114 12.669 -0.0101017 3.07391e-06 1 0.00111363 20.7478 271.208 0.655864 0.916415 0.773774 0.619785 0.804866 0.658781 0.114497 32.9138 8.06708 8.35813 8.09023 260.753 1.33926 93.8395 0.115265 9.78484e-05 0.00120257 31.2547 3.31429e-05 0.00109938 12.0814 3.31429e-05 0.00109938 43.336 0.289843 2.33578 NaN NaN NaN NaN NaN NaN NaN NaN 0.00245771 0.00445497 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 36.1738 9.27383 0.1333 0.000234834 6.44997e-05 7.75361e-05 0.312354 -0.0838177 -8.54859e-06 0.00140822 0.00125596 0.0012756 6.04118 
20130323 82 181 2 6 42981 42906 43056 76.347 24.9458 80.1972 8.6689 0 62.5488 32.3972 3.71927 32.3972 1027.71 -1.15288 -7.50819 0.963542 0.20134 7.59618 8.72957 0.962101 -2.13892 -5.77868 6.16182 20.3115 259.825 259.143 259.143 1.25687 1.73216 94.5993 130.335 107.772 148.484 260.141 260.34 257.803 261.235 262.44 -0.00554024 1.3779 1.27301 1032.08 262.52 0 1.6141 60.783 106.61 267.688 248.167 0.570145 0 260.088 1.29401 95.7341 7.24934 7.55884 -148.122 0.180813 0.0273653 0.17873 0.36257 0.00238965 0 0.00230076 38.2215 27.4956 -0.0549152 -0.0609733 3.13163e-07 0 0.00111039 10.7259 -0.00860312 6.42875e-07 1 0.00115861 71.4777 271.26 0.567191 0.827456 0.806434 0.600207 0.833038 0.641211 0.0871453 28.5564 6.71892 7.45041 7.17097 260.498 1.30971 93.6766 0.0877111 7.61908e-05 0.00115205 26.97 4.17721e-05 0.00109615 10.3686 4.17721e-05 0.00109615 37.3387 0.252881 1.58951 NaN NaN NaN NaN NaN NaN NaN NaN 0.00013105 0.000269024 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 31.6125 7.76492 0.10553 0.000234883 7.40865e-05 8.84127e-05 0.277952 -0.0822355 -8.03331e-06 0.00140827 0.00127071 0.00129002 5.386 
20130323 82 181 2 7 43131 43056 43206 76.3486 25.27 81.0687 8.51872 0 60.8779 30.587 3.46318 30.587 1027.81 -1.93011 -8.47887 0.908456 0.201681 8.69578 12.8241 0.672609 -2.87052 -6.78052 7.3631 22.9452 259.468 258.673 258.673 1.20913 1.68251 93.7038 130.351 107.124 149.02 259.766 259.958 257.442 260.745 261.946 -0.00572682 1.37993 1.27888 1031.94 262.039 0 1.55342 77.9094 136.975 265.793 235.379 0.568786 0 259.761 1.2459 94.649 8.69267 9.17227 -98.8644 0.191595 0.0184911 0.190701 0.372931 0.000533825 0 0.00165312 62.5962 47.0668 -0.0912483 -0.0963293 0.000287924 0 0.0015555 15.5294 -0.0120909 6.896e-05 1 0.00136845 16.468 271.339 0.53788 0.923116 0.845938 0.598266 0.867112 0.639469 0.117004 30.304 7.02958 8.4203 8.17116 260.131 1.26337 93.0762 0.117606 9.94551e-05 0.00120597 28.5873 3.25706e-05 0.00109942 11.113 3.25706e-05 0.00109942 39.7003 0.292412 2.40567 NaN NaN NaN NaN NaN NaN NaN NaN 0.53936 0.129181 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 33.2747 7.99199 0.135865 0.000234797 6.35624e-05 7.6467e-05 0.314889 -0.0762913 -7.28412e-06 0.00140818 0.0012544 0.00127408 6.11595 
